Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL428741,,None,545.57,1,3.77,17,CCOc1cc2ncnc(NC3=CC(=O)C(OCc4cccc(F)c4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C,Ratio,'=',3.1,,,,,,,,,,0,CHEMBL892962,Ratio of IC50 for VEGFR2 in presence of 1 mM ATP to IC50 for VEGFR2 in presence of 1 uM ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1147965,1,Scientific Literature,Bioorg Med Chem,2007,None,,,,3.1
CHEMBL2088109,,None,314.31,0,0.95,22,Cc1cc(Nc2ccnc(NCc3cc(C(N)=O)no3)n2)n[nH]1,IC50,'=',1258.93,nM,5.9,,,UO_0000065,18.77,0.35,4.95,4,0,CHEMBL2090013,Inhibition of recombinant N terminal GST-tagged human KDR (805 to 1356) expressed in baculovirus infected Sf9 cells after 90 mins by caliper mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2086247,1,Scientific Literature,J Med Chem,2012,CHEMBL3308860,,,,5.9
CHEMBL2088111,,None,374.25,0,3.28,24,CCc1cc(Nc2nc(NCc3ccccn3)ncc2Br)n[nH]1,IC50,'=',501.19,nM,6.3,,,UO_0000065,16.83,0.37,3.02,6.89,0,CHEMBL2090013,Inhibition of recombinant N terminal GST-tagged human KDR (805 to 1356) expressed in baculovirus infected Sf9 cells after 90 mins by caliper mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2086247,1,Scientific Literature,J Med Chem,2012,CHEMBL3308860,,,,6.3
CHEMBL2088259,,None,431.5,0,3.75,30,COc1cc(CCc2cc(Nc3ccnc(NCc4ccccn4)n3)n[nH]2)cc(OC)c1,IC50,'=',398.11,nM,6.4,,,UO_0000065,14.83,0.27,2.65,5.83,0,CHEMBL2090013,Inhibition of recombinant N terminal GST-tagged human KDR (805 to 1356) expressed in baculovirus infected Sf9 cells after 90 mins by caliper mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2086247,1,Scientific Literature,J Med Chem,2012,CHEMBL3308860,,,,6.4
CHEMBL1082946,,None,1069.14,None,None,12,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CC[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,FC,'=',3,,,,,,,,,,0,CHEMBL1118172,Binding affinity to human recombinant VEGFR2 extracellular domain immobilized in CNBr-activated sepharose at 25 nmol after 5 mins by pull-down assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1155516,1,Scientific Literature,J Med Chem,2010,None,,,,3
CHEMBL2069625,,None,295.34,0,3.72,E,Cc1oc(-c2ccccc2)nc1COc1cccc(CO)c1,IC50,'=',50000,nM,4.3,,,UO_0000065,14.56,0.27,0.58,7.75,0,CHEMBL2072786,Inhibition of human unphosphorylated N-terminal-His6 tagged VEGFR2 catalytic domain using 5-FAM-EEPLYWSFPAKKK-CONH2 as substrate after 60 mins by mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2069184,1,Scientific Literature,ACS Med Chem Lett,2012,None,,,,50
CHEMBL215000,,None,365.39,0,3.33,4h,COc1cc(OCc2ccncc2)c(C(=O)Nc2ccccn2)cc1OC,Inhibition,'=',24,%,,,,UO_0000187,,,,,0,CHEMBL906911,Inhibition of recombinant KDR at 10 uM by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1149489,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,,24
CHEMBL216043,,None,372.35,0,4.93,4a,O=C(Nc1ccccc1C(F)(F)F)c1ccccc1OCc1ccncc1,Inhibition,'=',60,%,,,,UO_0000187,,,,,0,CHEMBL906911,Inhibition of recombinant KDR at 10 uM by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1149489,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,,60
CHEMBL403606,,None,455.56,0,4.71,36,CCCCn1c2ccc(/C(C)=N/OC)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,IC50,,,,,,Not Determined,,,,,,0,CHEMBL929874,Inhibition of VEGF-stimulated VEGFR2 autophosphorylation in HUVEC cells at 50 nM relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141537,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3307501,,,,
CHEMBL257793,,None,427.51,0,4.07,25,CO/N=C(/c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4)C(C)C,IC50,'=',4,nM,8.4,,,UO_0000065,19.64,0.36,4.33,9.96,0,CHEMBL929873,Inhibition of human recombinant VEGFR2 by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141537,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,4
CHEMBL404718,,None,413.48,0,3.82,24,CCO/N=C(\C)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,IC50,'=',2,nM,8.7,,,UO_0000065,21.04,0.38,4.88,10.32,0,CHEMBL929873,Inhibition of human recombinant VEGFR2 by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141537,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,2
CHEMBL404322,,None,385.43,0,3.26,27,C/C(=N\O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,IC50,,,,,,Not Determined,,,,,,0,CHEMBL929874,Inhibition of VEGF-stimulated VEGFR2 autophosphorylation in HUVEC cells at 50 nM relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141537,1,Scientific Literature,Bioorg Med Chem Lett,2008,CHEMBL3307501,,,,
CHEMBL535,SUNITINIB,4,398.48,0,3.33,Sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,IC50,'=',83200,nM,4.08,,,UO_0000065,10.24,0.19,0.75,5.28,0,CHEMBL4819966,Inhibition of recombinant human His-tagged VEGFR2 expressed in Baculovirus expression system using ADP-Glo as substrate measured after 30 mins in presence of ATP by ADP-Glo kinase assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4819005,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 0.5 hr,INHIBITOR,,83.2
CHEMBL2086729,,None,406.27,1,5.78,6i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086733,,None,416.28,1,5.24,6m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086738,,None,381.39,0,4.17,6r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086740,,None,395.42,0,4.48,6t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL477772,PAZOPANIB,4,437.53,0,3.14,GW-786034,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,IC50,'=',30,nM,7.52,,,UO_0000065,17.19,0.33,4.38,6.32,1,CHEMBL1292980,Inhibition of recombinant VEGFR2 after 1 hr by fluorescence polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1287660,1,Scientific Literature,Eur J Med Chem,2010,None,,,,30
CHEMBL2086743,,None,382.42,0,4.06,6w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086744,,None,436.52,1,5,7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086748,,None,499.6,0,3.41,7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086756,,None,481.58,1,5.51,8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2086760,,None,447.97,0,4.87,8h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2087169,,None,445.54,0,4.66,8k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL243910,,None,504.4,2,5.73,31,COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cn3)cc2[nH]1,IC50,'=',16,nM,7.8,,,UO_0000065,15.46,0.3,2.07,5.98,0,CHEMBL895710,Inhibition of GST-tagged human recombinant VEGFR2 expressed in baculovirus,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1148750,1,Scientific Literature,J Med Chem,2007,None,,,,16
CHEMBL244288,,None,502.42,2,5.87,29,COC(=O)Nc1nc2ccc(Oc3ccc(CC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1,IC50,'=',16,nM,7.8,,,UO_0000065,15.52,0.3,1.93,7.4,0,CHEMBL895710,Inhibition of GST-tagged human recombinant VEGFR2 expressed in baculovirus,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1148750,1,Scientific Literature,J Med Chem,2007,None,,,,16
CHEMBL244097,,None,461.43,0,4.88,26,COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cccc(C(=O)O)c4)cc3)ccc2[nH]1,IC50,'=',603,nM,6.22,,,UO_0000065,13.48,0.25,1.34,4.02,0,CHEMBL895710,Inhibition of GST-tagged human recombinant VEGFR2 expressed in baculovirus,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1148750,1,Scientific Literature,J Med Chem,2007,None,,,,603
CHEMBL244095,,None,517.49,2,6.79,23,COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cccc(SC(F)(F)F)c4)cc3)cc2[nH]1,IC50,'=',1.3,nM,8.89,,,UO_0000065,17.17,0.34,2.1,7.57,0,CHEMBL895710,Inhibition of GST-tagged human recombinant VEGFR2 expressed in baculovirus,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1148750,1,Scientific Literature,J Med Chem,2007,None,,,,1.3
CHEMBL2113192,,None,479.44,0,2.29,50,COCCOc1cc2ncnc(NC3=CC(=O)C(OC(CF)CF)=C(OC)C3=O)c2cc1OC,IC50,'=',5.7,nM,8.24,,,UO_0000065,17.2,0.33,5.95,6.98,0,CHEMBL864514,Inhibition of poly(Glu4-Tyr)peptide phosphorylation by recombinant VEGFR2 at 10 uM ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141211,1,Scientific Literature,J Med Chem,2005,None,,,,5.7
CHEMBL2113163,,None,504.54,1,3.64,74,COc1cc2c(NC3=CC(=O)C(OCc4ccco4)=CC3=O)ncnc2cc1OCCCN1CCCC1,IC50,'=',4.2,nM,8.38,,,UO_0000065,16.6,0.31,4.74,7.22,0,CHEMBL864514,Inhibition of poly(Glu4-Tyr)peptide phosphorylation by recombinant VEGFR2 at 10 uM ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141211,1,Scientific Literature,J Med Chem,2005,None,,,,4.2
CHEMBL378165,,None,431.89,1,5.03,12,Cn1cnc(NCc2cccc3ncccc23)c1-c1nnc(Nc2ccc(Cl)cc2)o1,IC50,'=',3540,nM,5.45,,,UO_0000065,12.62,0.24,0.42,5.82,0,CHEMBL862189,Inhibition of VEGFR2 by enzymatic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1139649,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,,3.54
CHEMBL118748,,None,445.52,0,4.65,8,O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,IC50,'=',8,nM,8.1,,,UO_0000065,18.17,0.34,3.45,8.21,0,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137936,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,8
CHEMBL365318,,None,443.41,0,3.52,37,CONC(=O)c1cc(Nc2ncnn3cc(-c4nnc(C)o4)c(C(C)C)c23)c(F)cc1F,IC50,'=',18,nM,7.75,,,UO_0000065,17.47,0.33,4.22,6.48,0,CHEMBL829589,Inhibition of human vascular endothelial growth factor receptor 2 kinase activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144449,1,Scientific Literature,J Med Chem,2005,None,,,,18
CHEMBL427202,,None,370.38,0,3.52,13,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@H](C)O)c(C)c34)ccc2[nH]1,IC50,'=',40,nM,7.4,,,UO_0000065,19.97,0.37,3.88,8.74,0,CHEMBL860941,Inhibitory activity against VEGFR2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1146078,1,Scientific Literature,J Med Chem,2006,None,,,,0.04
CHEMBL119276,,None,430.51,0,3.63,7,CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,IC50,'=',4,nM,8.4,,,UO_0000065,19.51,0.36,4.77,10.28,0,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137936,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,4
CHEMBL363153,,None,272.74,0,3.78,5,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1Cl,IC50,'=',1000,nM,6,,,UO_0000065,22,0.43,2.22,13.37,0,CHEMBL876999,In vitro inhibition of KDR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1141154,1,Scientific Literature,J Med Chem,2005,None,,,,1
CHEMBL365109,,None,415.43,0,3.2,12,CCOC(=O)c1cn2ncnc(Nc3ccc(F)c(C(=O)NOC)c3)c2c1C(C)C,IC50,'=',79,nM,7.1,,,UO_0000065,17.1,0.32,3.9,6.65,0,CHEMBL829589,Inhibition of human vascular endothelial growth factor receptor 2 kinase activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144449,1,Scientific Literature,J Med Chem,2005,None,,,,79
CHEMBL191594,,None,517.54,1,3.81,26,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OC4CCN(C)CC4)c(C(C)C)c23)c(F)cc1F,IC50,'=',36,nM,7.44,,,UO_0000065,14.38,0.27,3.63,6.1,0,CHEMBL829589,Inhibition of human vascular endothelial growth factor receptor 2 kinase activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1144449,1,Scientific Literature,J Med Chem,2005,None,,,,36
CHEMBL328790,,None,306.76,0,4.11,2a,Clc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,IC50,'=',113,nM,6.95,,,UO_0000065,22.65,0.43,2.84,16.13,0,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1135353,1,Scientific Literature,Bioorg Med Chem Lett,2002,None,,,,113
CHEMBL1336,SORAFENIB,4,464.83,1,5.55,Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Inhibition,'=',94.3,%,,,,UO_0000187,,,,,1,CHEMBL4155773,Inhibition of recombinant human His-tagged VEGFR2 cytoplasmic domain (789 to 1356 residues) expressed in baculovirus expression system at 1 uM by Z'-Lyte assay relative to control,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4152295,1,Scientific Literature,Eur J Med Chem,2018,None,,,,94.3
CHEMBL3417525,BI 665915,None,458.53,0,2.78,EUB0000749,CN(C)C(=O)Cn1cc(-c2nc([C@@](C)(c3ccc(-c4cnc(N)nc4)cc3)C3CC3)no2)cn1,% Control,'=',87,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4880006,KinomeScan assay: inhibition of VEGFR2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Amino acid Start/Stop: R787/P1253 | Expression system: mammalian | Kinase construct length: Partial Length | Kinase form: Wild Type,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4507276,54,SGC Frankfurt - Donated Chemical Probes,,2021,None,Compound concentration None 1000.0 nM,,,87
CHEMBL374975,FUSIDIC ACID,4,516.72,2,5.67,fusidic acid,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,AC50,'>',30000,nM,,,Summarised AC50 (mean value for measurements with a relation sign '='; largest value for measurements with relation sign '>'),UO_0000065,,,,,0,CHEMBL5291829,Compound was evaluated for inhibition of human KDR in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5291721,1,Scientific Literature,Nat Commun,2023,None,,,,30
CHEMBL186001,,None,268.32,0,3.1,17,Cc1ccc(Nc2ncnn3cc(C)c(C)c23)cc1O,IC50,'=',20,nM,7.7,,,UO_0000065,28.69,0.53,4.6,12.33,0,CHEMBL827963,In vitro inhibition of Vascular endothelial growth factor receptor 2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1138664,1,Scientific Literature,J Med Chem,2004,None,,,,0.02
CHEMBL363551,,None,508.67,2,5.38,18,CCN(CC)CCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1,IC50,'=',15,nM,7.82,,,UO_0000065,15.38,0.29,2.44,7.77,0,CHEMBL829083,Inhibition of glutamate/tyrosine (4:1) copolymer phosphorylation by human VEGFR 2 in DELFIA assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145157,1,Scientific Literature,J Med Chem,2005,None,,,,0.015
CHEMBL3657550,,None,471.57,0,3.37,BDBM138211,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(C(=O)C3CC3)cn4C)n2)cc1CN1CC[C@@H](O)C1,IC50,'=',483,nM,6.32,,272111,UO_0000065,13.39,0.25,2.95,6.25,0,CHEMBL3707826,Kinase Inhibition Assay: Compounds of the invention were initially diluted to 10 mM in 100% DMSO (CALBIOCHEM) for storage and made into kinase buffer solution to create a compound concentration ranging from 1 uM and 10 uM. Serial dilutions of compounds of the invention were dispensed into a 96-well plate (GREINER BIOSCIENCES) at 6 uL each. Purified full-length human SYK,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3656038,,None,476.49,0,3.11,BDBM110547,Cc1ccoc1C(=O)Nc1cccc(Oc2ccnc(-c3cc(C(=O)NCC(O)CO)c[nH]3)c2)c1,IC50,'=',26,nM,7.58,,231432,UO_0000065,15.92,0.3,4.48,5.07,0,CHEMBL3705785,Kinase assays: Kinase assays were performed in 96 well microtiter plates that were coated overnight with 30.mu.g of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL382716,,None,579.87,2,6.48,15a,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCNC(=O)c1c(F)c(F)c(N=[N+]=[N-])c(F)c1F,IC50,'<',1000,nM,,,,UO_0000065,,,,,0,CHEMBL864485,Inhibitory activity against VEGFR2 kinase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1148542,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,,1
CHEMBL3648112,,None,444.36,0,3.21,BDBM2492,COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)ccc1S(C)(=N)=O,IC50,'=',97,nM,7.01,,6381,UO_0000065,15.78,0.37,3.8,5.83,0,CHEMBL3707963,Kinase Assay: Kinase assay using either CDK1,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3648102,,None,431.38,0,3.88,BDBM100913,CC(O)C(C)Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,IC50,'=',150,nM,6.82,,218195,UO_0000065,15.82,0.39,2.94,6.9,0,CHEMBL3707963,Kinase Assay: Kinase assay using either CDK1,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2018764,,None,445.48,1,5.04,62,COc1cccc(NC(=O)Nc2ccc(Nc3ncnc4cc(OC)c(OC)cc34)cc2)c1,IC50,'=',6200,nM,5.21,,,UO_0000065,11.69,0.22,0.17,4.88,0,CHEMBL2020643,Inhibition of recombinant human VEGFR-2 using poly(Glu4/Tyr) and [gamma32P]ATP as substrate after 1 hr by scintillation counting,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2016491,1,Scientific Literature,J Med Chem,2012,None,,,,6.2
CHEMBL3660286,,None,585.64,2,6.38,BDBM110658,COC(=O)CC1CCN(C(=O)c2c[nH]c(-c3cc(Oc4ccc(NC(=O)Nc5cc(C)ccc5F)cc4)ccn3)c2)CC1,IC50,'=',116,nM,6.94,,231543,UO_0000065,11.84,0.22,0.56,5.52,0,CHEMBL3705785,Kinase assays: Kinase assays were performed in 96 well microtiter plates that were coated overnight with 30.mu.g of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL365286,GW549034X,None,229.24,0,1.69,GW549034X,CCn1c(-c2nonc2N)nc2ccccc21,Inhibition,'=',4.29,%,,,,UO_0000187,,,,,0,CHEMBL1962123,GSK_PKIS: KDR mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,4.29
CHEMBL184274,,None,477.52,1,5.2,14c,Cc1cccc(NC(=O)Nc2ccc(-c3ccc(NC(=O)c4cccnc4)c4c3CNC4=O)cc2)c1,IC50,'=',10,nM,8,,,UO_0000065,16.75,0.3,2.8,7.13,0,CHEMBL829417,Inhibition of Vascular endothelial growth factor receptor 2 (KDR),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137187,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,10
CHEMBL359947,,None,457.53,0,4.05,14d,Cc1cccc(NC(=O)Nc2ccc(-c3ccc(NC(=O)CN(C)C)c4c3CNC4=O)cc2)c1,IC50,'=',350,nM,6.46,,,UO_0000065,14.11,0.26,2.41,6.29,0,CHEMBL829417,Inhibition of Vascular endothelial growth factor receptor 2 (KDR),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137187,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,350
